表名,中文用途/注释,ESG分类,表类型,录入属性,当前行数
ai_document_analysis,综合,综合,业务事实表,文件上传关联,3
ai_extracted_environment,综合,综合,业务事实表,系统自动生成/计算,3
ai_extracted_progress,综合,综合,业务事实表,系统自动生成/计算,12
ai_extracted_project_info,综合,综合,业务事实表,系统自动生成/计算,3
ai_extracted_resource,综合,综合,业务事实表,系统自动生成/计算,3
ai_extracted_safety,综合,综合,业务事实表,系统自动生成/计算,3
ai_field_mapping_rule,AI字段入库映射规则,综合,关联表,系统自动生成/计算,27
ai_parse_field_result,AI字段抽取结果,综合,业务事实表,系统自动生成/计算,1916
ai_parse_job,AI解析任务,综合,业务事实表,系统自动生成/计算,207
appeal_record,群众诉求记录,S,业务事实表,必须人工录入,7
audit_log,操作审计日志,综合,业务事实表,系统自动生成/计算,2
biz_construction_slope,Demo E02 施工边坡对象,E,业务事实表,必须人工录入,2
biz_cultural_relic_object,E04 文物保护管控对象演示台账,E,业务事实表,必须人工录入,4
biz_design_change,Demo G03 设计变更,G,业务事实表,必须人工录入,4
biz_ecological_protection_object,Demo E03 生态保护对象,E,业务事实表,必须人工录入,2
biz_ecological_sensitive_area,Demo E03 生态敏感区,E,业务事实表,必须人工录入,2
biz_env_monitor_point,E,E,业务事实表,必须人工录入,3
biz_env_monitor_result,E,E,业务事实表,必须人工录入,12
biz_internal_control_issue,Demo G04 内控廉洁问题,G,业务事实表,必须人工录入,2
biz_night_construction_record,Demo G02 夜间施工记录,G,业务事实表,必须人工录入,2
biz_risk_disposal,Demo ESG 风险处置,综合,业务事实表,必须人工录入,4
biz_risk_warning,Demo ESG 风险预警,综合,业务事实表,系统自动生成/计算,6
biz_soil_disposal_site,Demo E02 弃土弃渣场对象,E,业务事实表,必须人工录入,2
biz_temporary_land_use,Demo E02 临时用地对象,E,业务事实表,必须人工录入,2
biz_topsoil_stripping,Demo E02 表土剥离对象,E,业务事实表,必须人工录入,2
biz_worker_payment_summary,Demo S03 工资支付周期汇总,S,业务事实表,系统自动生成/计算,2
carbon_accounting_batch,碳排放核算批次（§5.3）,E,业务事实表,必须人工录入,1
carbon_accounting_boundary,碳排放核算边界配置（按来源维度，§5.2）,E,业务事实表,必须人工录入,4
carbon_accounting_evidence_link,碳核算与既有资料关联,E,关联表,文件上传关联,0
carbon_emission_activity,碳排放活动数据,E,业务事实表,必须人工录入,6
carbon_emission_baseline,碳排放基准方案,E,业务事实表,必须人工录入,6
carbon_emission_factor,碳排放因子元数据（含演示测试因子）,E,业务事实表,必须人工录入,6
carbon_emission_factor_snapshot,碳排放因子不可变快照（行级，§5.4）,E,业务事实表,系统自动生成/计算,6
carbon_emission_segment_detail,碳排放月度-标段-来源-材料演示明细,E,业务事实表,必须人工录入,108
carbon_material_usage,碳排放材料用量,E,业务事实表,必须人工录入,18
carbon_measure_monthly_performance,低碳措施月度成效,E,业务事实表,必须人工录入,4
carbon_reduction_accounting,月度低碳增益核算,E,业务事实表,必须人工录入,6
carbon_reduction_measure,低碳措施及成本台账,E,业务事实表,必须人工录入,4
cfg_warning_rule,Demo 风险规则,综合,配置表,系统自动生成/计算,7
compliance_material_gap,待补齐合规资料,G,业务事实表,必须人工录入,4
compliance_procedure,合规手续,G,业务事实表,必须人工录入,7
